index,voted
0,0.6915
1,0.8611
2,0.5661
3,0.8286
4,0.7685
5,0.5142
6,0.8728
7,0.5328
8,0.6553
9,0.5273
10,0.6947
11,0.8402
12,0.6049
13,0.5701
14,0.6141
15,0.9669
16,0.8388
17,0.7166
18,0.5565
19,0.5406
20,0.5675
21,0.5317
22,0.7937
23,0.7136
24,0.6996
25,0.8391
26,0.9613
27,0.5167
28,0.6066
29,0.6939
30,0.513
31,0.783
32,0.7488
33,0.5436
34,0.6303
35,0.6941
36,0.711
37,0.5197
38,0.533
39,0.6572
40,0.5888
41,0.9084
42,0.8154
43,0.5609
44,0.9513
45,0.6588
46,0.7793
47,0.9533
48,0.5244
49,0.8695
50,0.8046
51,0.9057
52,0.5044
53,0.8392
54,0.9486
55,0.5366
56,0.5843
57,0.5943
58,0.849
59,0.6965
60,0.8689
61,0.5455
62,0.5545
63,0.602
64,0.6603
65,0.7483
66,0.643
67,0.7353
68,0.5721
69,0.5058
70,0.757
71,0.5428
72,0.7475
73,0.813
74,0.8839
75,0.5031
76,0.6266
77,0.7119
78,0.5481
79,0.6438
80,0.9764
81,0.6388
82,0.5408
83,0.6217
84,0.8117
85,0.5778
86,0.779
87,0.6123
88,0.6954
89,0.772
90,0.9403
91,0.6445
92,0.7346
93,0.6723
94,0.6023
95,0.8343
96,0.5935
97,0.897
98,0.5445
99,0.5658
100,0.7675
101,0.5836
102,0.7215
103,0.6197
104,0.7392
105,0.5951
106,0.6487
107,0.532
108,0.7833
109,0.727
110,0.6366
111,0.7322
112,0.831
113,0.8164
114,0.8626
115,0.9597
116,0.5477
117,0.702
118,0.7309
119,0.6926
120,0.5649
121,0.7357
122,0.9696
123,0.7309
124,0.6692
125,0.6226
126,0.9534
127,0.7805
128,0.9626
129,0.632
130,0.6358
131,0.5117
132,0.7255
133,0.8424
134,0.9737
135,0.8096
136,0.7371
137,0.7882
138,0.7321
139,0.9561
140,0.5523
141,0.8714
142,0.7937
143,0.6783
144,0.522
145,0.6962
146,0.7054
147,0.7186
148,0.5215
149,0.5411
150,0.6143
151,0.6439
152,0.7371
153,0.5055
154,0.6219
155,0.5404
156,0.8493
157,0.5519
158,0.9638
159,0.5025
160,0.8258
161,0.5854
162,0.6939
163,0.5826
164,0.703
165,0.5315
166,0.571
167,0.8323
168,0.5764
169,0.9728
170,0.9736
171,0.6053
172,0.6637
173,0.7326
174,0.7369
175,0.7796
176,0.8189
177,0.5161
178,0.7575
179,0.9409
180,0.968
181,0.51
182,0.9368
183,0.6155
184,0.6704
185,0.6029
186,0.522
187,0.7408
188,0.7852
189,0.5772
190,0.6348
191,0.7404
192,0.7123
193,0.6908
194,0.5276
195,0.6923
196,0.6572
197,0.7574
198,0.6779
199,0.5229
200,0.6222
201,0.5279
202,0.6873
203,0.77
204,0.9555
205,0.7817
206,0.6844
207,0.7141
208,0.7571
209,0.7603
210,0.9661
211,0.5233
212,0.742
213,0.9726
214,0.6671
215,0.5657
216,0.7272
217,0.6717
218,0.7427
219,0.7375
220,0.5429
221,0.6485
222,0.8188
223,0.7295
224,0.5268
225,0.7043
226,0.5863
227,0.9596
228,0.5217
229,0.6298
230,0.636
231,0.699
232,0.6936
233,0.7672
234,0.9661
235,0.7655
236,0.9569
237,0.8073
238,0.7665
239,0.5584
240,0.6586
241,0.5386
242,0.7405
243,0.6658
244,0.59
245,0.632
246,0.6564
247,0.6547
248,0.6942
249,0.7883
250,0.8292
251,0.5053
252,0.5862
253,0.6223
254,0.7471
255,0.6529
256,0.6848
257,0.6531
258,0.8512
259,0.6041
260,0.939
261,0.5353
262,0.5995
263,0.7054
264,0.6333
265,0.7141
266,0.793
267,0.8648
268,0.5161
269,0.8587
270,0.6323
271,0.632
272,0.5524
273,0.6226
274,0.6283
275,0.5403
276,0.9589
277,0.9579
278,0.5029
279,0.7287
280,0.534
281,0.8001
282,0.7365
283,0.5283
284,0.6673
285,0.5134
286,0.6869
287,0.7319
288,0.7713
289,0.8494
290,0.8229
291,0.7754
292,0.7059
293,0.6006
294,0.5075
295,0.6201
296,0.668
297,0.8043
298,0.6349
299,0.7774
300,0.8173
301,0.7687
302,0.7504
303,0.5461
304,0.9685
305,0.8214
306,0.5616
307,0.5477
308,0.5789
309,0.7201
310,0.5693
311,0.7814
312,0.5573
313,0.8077
314,0.6338
315,0.9476
316,0.6127
317,0.5145
318,0.5076
319,0.6716
320,0.5271
321,0.5159
322,0.642
323,0.536
324,0.5461
325,0.6049
326,0.6523
327,0.5993
328,0.6439
329,0.8636
330,0.9726
331,0.7085
332,0.6172
333,0.7326
334,0.9715
335,0.7844
336,0.5944
337,0.662
338,0.588
339,0.8774
340,0.88
341,0.7758
342,0.7487
343,0.7105
344,0.6053
345,0.6408
346,0.6171
347,0.829
348,0.7244
349,0.696
350,0.9541
351,0.9505
352,0.8186
353,0.6501
354,0.8615
355,0.7532
356,0.7626
357,0.5354
358,0.9752
359,0.7562
360,0.8343
361,0.7471
362,0.6444
363,0.7056
364,0.5962
365,0.7591
366,0.5497
367,0.6924
368,0.7275
369,0.7006
370,0.588
371,0.6895
372,0.6915
373,0.7671
374,0.6381
375,0.884
376,0.6739
377,0.5665
378,0.5741
379,0.7272
380,0.6517
381,0.781
382,0.67
383,0.6869
384,0.6456
385,0.636
386,0.6313
387,0.604
388,0.6394
389,0.6599
390,0.5801
391,0.6592
392,0.6119
393,0.5365
394,0.7479
395,0.6667
396,0.638
397,0.5639
398,0.721
399,0.7233
400,0.5121
401,0.866
402,0.5418
403,0.9668
404,0.6364
405,0.6418
406,0.7845
407,0.5659
408,0.6274
409,0.5371
410,0.6313
411,0.5344
412,0.5343
413,0.6575
414,0.7245
415,0.5566
416,0.5477
417,0.8998
418,0.9498
419,0.5436
420,0.6063
421,0.5942
422,0.6422
423,0.5665
424,0.7952
425,0.7594
426,0.744
427,0.5897
428,0.6699
429,0.7548
430,0.6433
431,0.7295
432,0.6814
433,0.5775
434,0.5142
435,0.7401
436,0.6099
437,0.5057
438,0.5934
439,0.9562
440,0.5589
441,0.608
442,0.5312
443,0.5171
444,0.7049
445,0.6884
446,0.6746
447,0.5326
448,0.6219
449,0.716
450,0.6597
451,0.5167
452,0.6045
