iter	Logloss
0	0.6761279764
1	0.6612700937
2	0.6515671692
3	0.6403445789
4	0.6326790689
5	0.6269154553
6	0.6217726081
7	0.6151896608
8	0.6106611607
9	0.6064975961
10	0.6029662388
11	0.6001162875
12	0.5952454459
13	0.5913976294
14	0.5891414012
15	0.5857822405
16	0.5840589362
17	0.5827551108
18	0.5808871024
19	0.5798035555
20	0.5785936241
21	0.5772703113
22	0.5760358138
23	0.574299845
24	0.5728433407
25	0.571674983
26	0.5707742631
27	0.5701884462
28	0.5696823089
29	0.568687091
30	0.5681960194
31	0.5672182982
32	0.5664831843
33	0.5657843652
34	0.5652153777
35	0.5648975224
36	0.5643236146
37	0.5639416004
38	0.5636378741
39	0.5632143829
40	0.5629324577
41	0.5626756646
42	0.5622680894
43	0.5618481814
44	0.5615961796
45	0.5613473055
46	0.5610915068
47	0.5608828859
48	0.5605159961
49	0.56033072
50	0.5601066822
51	0.5599079367
52	0.559736992
53	0.5594424721
54	0.5590859868
55	0.5587900446
56	0.5586076391
57	0.5584392867
58	0.5581379803
59	0.5579433641
60	0.557712863
61	0.55744914
62	0.5572045863
63	0.5570715387
64	0.5569364482
65	0.5567776068
66	0.5565767491
67	0.5563688968
68	0.5562514426
69	0.5561064267
70	0.5559470503
71	0.5557657557
72	0.5556117473
73	0.5554607812
74	0.5553123433
75	0.5551807276
76	0.5550099207
77	0.5548834284
78	0.5547452336
79	0.554608061
80	0.5544928378
81	0.5541379096
82	0.5540246115
83	0.5538844885
84	0.5537573678
85	0.5536031293
86	0.5533812982
87	0.5532004678
88	0.5531013096
89	0.5530133797
90	0.55290131
91	0.5528079091
92	0.5526805086
93	0.5525535507
94	0.5524810389
95	0.5523732014
96	0.5521314707
97	0.5519882664
98	0.5518951158
99	0.5517792729
100	0.5516045785
101	0.5515036748
102	0.5513226113
103	0.5511695277
104	0.5510369986
105	0.5509241645
106	0.5507711907
107	0.5506657948
108	0.550511654
109	0.5503837144
110	0.550284315
111	0.5501775668
112	0.5500668647
113	0.5499500815
114	0.5497823676
115	0.5496619316
116	0.5495666922
117	0.5494865681
118	0.5493185283
119	0.5491792157
120	0.5490859879
121	0.5489541863
122	0.5488440454
123	0.548751973
124	0.5486592034
125	0.5485359611
126	0.5484273695
127	0.5483480188
128	0.5482387332
129	0.5481009508
130	0.5480025545
131	0.5478634168
132	0.5477597523
133	0.5475931911
134	0.5475045452
135	0.5473867261
136	0.5472569833
137	0.5471345784
138	0.5470185167
139	0.5469081617
140	0.5468057835
141	0.5466873544
142	0.5465797608
143	0.5464274408
144	0.5463415313
145	0.5462396501
146	0.5461258519
147	0.5460253401
148	0.5459149742
149	0.5458222698
150	0.5457144448
151	0.5456191613
152	0.5454997568
153	0.5453759706
154	0.5452358434
155	0.5451260099
156	0.5450280157
157	0.5449172834
158	0.5448237789
159	0.5446804953
160	0.5445662437
161	0.5444448934
162	0.5443417063
163	0.544289423
164	0.544177941
165	0.5440699577
166	0.5438708076
167	0.543796513
168	0.5436806461
169	0.5435772569
170	0.5434667102
171	0.5433536987
172	0.5432632777
173	0.5431029588
174	0.5429897843
175	0.5428799213
176	0.5427536029
177	0.5426430628
178	0.5425206776
179	0.5423983279
180	0.542296465
181	0.5421862218
182	0.5420773632
183	0.5419750724
184	0.5419007145
185	0.541800099
186	0.5416896048
187	0.541592925
188	0.541490768
189	0.5413578729
190	0.5412533872
191	0.5410563288
192	0.5408903739
193	0.5408027496
194	0.540635871
195	0.5405388258
196	0.5404164848
197	0.5403078529
198	0.5401792523
199	0.540042867
200	0.5399281206
201	0.5397937795
202	0.5396437214
203	0.5393748396
204	0.5392627173
205	0.5391532196
206	0.5390265268
207	0.5389284527
208	0.5388137066
209	0.538716843
210	0.5386005984
211	0.5384880398
212	0.5383743229
213	0.5382588801
214	0.5381105921
215	0.5380034705
216	0.5378835842
217	0.537730821
218	0.5376125604
219	0.5375057961
220	0.53731366
221	0.5371639016
222	0.5369712094
223	0.5368530813
224	0.5367127892
225	0.5366357806
226	0.5365168259
227	0.5363999096
228	0.5362758589
229	0.536112712
230	0.5359874585
231	0.5357893123
232	0.5356367868
233	0.5355285491
234	0.5354017409
235	0.5352746157
236	0.5351364788
237	0.5350003575
238	0.5348591445
239	0.5347326809
240	0.5346079693
241	0.5344615428
242	0.5343381266
243	0.5341864073
244	0.5340533643
245	0.5339144693
246	0.533731389
247	0.5335779695
248	0.533468124
249	0.5333123239
250	0.5331688278
251	0.5330589303
252	0.5329325363
253	0.5327911401
254	0.5326691781
255	0.5325106149
256	0.5323931466
257	0.5322212836
258	0.5320830874
259	0.531969806
260	0.5318410066
261	0.5317338993
262	0.5316288736
263	0.5315123285
264	0.5313769762
265	0.5312548354
266	0.5311393246
267	0.5309948934
268	0.5308894046
269	0.5307655788
270	0.5306630769
271	0.530531126
272	0.5304106181
273	0.5302969126
274	0.5301671689
275	0.5300473292
276	0.5299293942
277	0.5297641582
278	0.5296278286
279	0.5294751401
280	0.5293691953
281	0.5292461178
282	0.5291394324
283	0.5289966593
284	0.5288439961
285	0.5286877591
286	0.5285304113
