iter	Passed	Remaining
0	68	68017
1	134	67222
2	214	71227
3	275	68494
4	358	71333
5	425	70475
6	481	68357
7	555	68867
8	632	69658
9	703	69647
10	760	68336
11	873	71941
12	968	73560
13	1060	74682
14	1128	74117
15	1202	73947
16	1272	73567
17	1342	73222
18	1446	74706
19	1518	74399
20	1575	73425
21	1668	74168
22	1748	74276
23	1813	73735
24	1874	73124
25	1989	74542
26	2095	75510
27	2172	75433
28	2246	75208
29	2324	75153
30	2380	74417
31	2436	73695
32	2505	73423
33	2565	72890
34	2624	72360
35	2703	72382
36	2750	71597
37	2810	71142
38	2856	70389
39	2900	69623
40	2954	69112
41	3019	68871
42	3079	68526
43	3129	68005
44	3173	67342
45	3239	67184
46	3303	66980
47	3350	66456
48	3399	65981
49	3453	65623
50	3535	65786
51	3645	66457
52	3714	66365
53	3770	66045
54	3825	65737
55	3903	65809
56	3967	65641
57	4053	65832
58	4133	65926
59	4210	65963
60	4279	65868
61	4347	65771
62	4413	65638
63	4481	65536
64	4536	65256
65	4608	65223
66	4658	64872
67	4741	64987
68	4787	64592
69	4867	64665
70	4918	64353
71	4962	63960
72	5047	64097
73	5107	63908
74	5183	63934
75	5273	64116
76	5382	64525
77	5482	64801
78	5569	64926
79	5622	64653
80	5732	65040
81	5788	64800
82	5840	64523
83	5926	64624
84	5973	64303
85	6027	64060
86	6077	63782
87	6159	63836
88	6205	63516
89	6261	63312
90	6321	63142
91	6402	63187
92	6469	63098
93	6600	63618
94	6648	63337
95	6694	63038
96	6764	62969
97	6817	62745
98	6863	62465
99	6912	62208
100	6957	61928
101	7003	61662
102	7051	61411
103	7091	61097
104	7133	60807
105	7172	60492
106	7218	60243
107	7263	59988
108	7300	59677
109	7352	59484
110	7401	59275
111	7443	59015
112	7486	58766
113	7539	58593
114	7606	58539
115	7660	58378
116	7711	58202
117	7759	58000
118	7827	57952
119	7870	57719
120	7911	57471
121	7962	57302
122	8004	57075
123	8047	56849
124	8092	56644
125	8136	56439
126	8169	56154
127	8220	55999
128	8257	55755
129	8301	55557
130	8340	55324
131	8381	55112
132	8429	54952
133	8471	54745
134	8519	54590
135	8568	54434
136	8647	54473
137	8721	54477
138	8759	54258
139	8821	54186
140	8864	54005
141	8917	53883
142	8976	53797
143	9019	53616
144	9061	53431
145	9100	53230
146	9152	53107
147	9195	52935
148	9245	52806
149	9297	52683
150	9339	52510
151	9378	52320
152	9415	52121
153	9459	51965
154	9501	51796
155	9554	51694
156	9601	51554
157	9638	51362
158	9675	51177
159	9720	51034
160	9768	50906
161	9833	50865
162	9890	50784
163	9934	50641
164	9975	50482
165	10011	50300
166	10059	50176
167	10094	49992
168	10129	49809
169	10163	49619
170	10200	49452
171	10253	49358
172	10298	49232
173	10334	49058
174	10377	48924
175	10418	48778
176	10461	48644
177	10508	48529
178	10548	48382
179	10585	48224
180	10617	48041
181	10661	47918
182	10728	47897
183	10766	47747
184	10805	47600
185	10848	47477
186	10892	47357
187	10935	47231
188	10989	47154
189	11040	47068
190	11101	47020
191	11167	46996
192	11228	46948
193	11267	46812
194	11305	46673
195	11385	46702
196	11428	46585
197	11465	46441
198	11505	46310
199	11572	46290
200	11607	46141
201	11654	46039
202	11687	45885
203	11733	45782
204	11798	45756
205	11832	45606
206	11881	45516
207	11922	45398
208	12005	45435
209	12087	45471
210	12139	45395
211	12180	45274
212	12215	45135
213	12253	45006
214	12300	44909
215	12358	44855
216	12408	44772
217	12455	44678
218	12501	44582
219	12564	44545
220	12605	44433
221	12639	44296
222	12673	44157
223	12712	44038
224	12759	43950
225	12796	43826
226	12829	43688
227	12870	43578
228	12926	43521
229	12975	43439
230	13040	43413
231	13095	43351
232	13141	43260
233	13182	43152
234	13249	43130
235	13283	43002
236	13329	42912
237	13366	42795
238	13404	42681
239	13442	42567
240	13478	42449
241	13518	42341
242	13551	42214
243	13588	42102
244	13629	42001
245	13678	41924
246	13712	41802
247	13753	41704
248	13798	41617
249	13840	41522
250	13888	41444
251	13927	41340
252	13961	41222
253	13992	41095
254	14025	40977
255	14064	40874
256	14098	40759
257	14142	40672
258	14177	40562
259	14214	40455
260	14248	40342
261	14282	40231
262	14323	40137
263	14365	40050
264	14397	39932
265	14436	39834
266	14472	39732
267	14513	39642
268	14548	39535
269	14580	39420
270	14636	39371
271	14687	39309
272	14727	39218
273	14761	39113
274	14795	39005
275	14832	38909
276	14873	38821
277	14928	38770
278	14970	38687
279	15020	38625
280	15056	38526
281	15097	38438
282	15139	38357
283	15183	38279
284	15227	38202
285	15273	38129
286	15314	38047
287	15354	37959
288	15393	37871
289	15449	37824
290	15499	37763
291	15540	37680
292	15569	37567
293	15601	37464
294	15646	37392
295	15684	37304
296	15737	37249
297	15785	37186
298	15821	37093
299	15852	36988
300	15883	36884
301	15914	36783
302	15952	36696
303	15993	36617
304	16023	36513
305	16087	36485
306	16144	36442
307	16187	36368
308	16221	36275
309	16258	36187
310	16300	36111
311	16351	36057
312	16402	36001
313	16446	35931
314	16498	35878
315	16564	35854
316	16600	35766
317	16632	35671
318	16681	35611
319	16718	35526
320	16753	35439
321	16793	35361
322	16831	35279
323	16876	35210
324	16911	35124
325	16936	35016
326	16978	34943
327	17009	34848
328	17042	34759
329	17079	34675
330	17108	34579
331	17142	34491
332	17172	34396
333	17209	34316
334	17244	34232
335	17282	34152
336	17311	34058
337	17341	33964
338	17377	33883
339	17406	33788
340	17432	33690
341	17467	33608
342	17502	33525
343	17535	33440
344	17570	33358
345	17599	33267
346	17635	33187
347	17681	33126
348	17720	33053
349	17756	32976
350	17792	32899
351	17828	32821
352	17855	32726
353	17884	32637
354	17911	32542
355	17943	32459
356	17974	32374
357	18008	32294
358	18049	32228
359	18089	32159
360	18124	32081
361	18153	31994
362	18192	31923
363	18230	31852
364	18273	31791
365	18311	31719
366	18345	31642
367	18372	31553
368	18405	31474
369	18437	31393
370	18468	31311
371	18497	31226
372	18531	31150
373	18556	31060
374	18588	30980
375	18622	30905
376	18662	30840
377	18705	30780
378	18741	30708
379	18781	30643
380	18816	30570
381	18852	30499
382	18888	30428
383	18923	30357
384	18963	30291
385	18992	30211
386	19021	30129
387	19050	30048
388	19079	29967
389	19112	29894
390	19144	29818
391	19172	29737
392	19205	29664
393	19246	29603
394	19281	29532
395	19333	29489
396	19370	29421
397	19403	29348
398	19438	29278
399	19462	29194
400	19494	29120
401	19530	29053
402	19563	28981
403	19591	28902
404	19621	28826
405	19652	28752
406	19683	28678
407	19721	28616
408	19753	28543
409	19784	28470
410	19822	28407
411	19861	28345
412	19893	28274
413	19930	28210
414	19969	28150
415	20002	28079
416	20039	28017
417	20088	27969
418	20119	27898
419	20153	27831
420	20191	27769
421	20225	27702
422	20259	27635
423	20290	27564
424	20344	27524
425	20380	27461
426	20414	27394
427	20449	27329
428	20499	27284
429	20535	27220
430	20565	27150
431	20640	27138
432	20679	27078
433	20708	27006
434	20739	26937
435	20808	26916
436	20853	26866
437	20904	26822
438	20952	26774
439	20997	26724
440	21028	26655
441	21075	26607
442	21130	26568
443	21166	26505
444	21247	26499
445	21322	26485
446	21399	26473
447	21449	26428
448	21481	26361
449	21524	26307
450	21559	26243
451	21598	26185
452	21631	26119
453	21664	26054
454	21698	25990
455	21729	25923
456	21761	25857
457	21800	25798
458	21835	25736
459	21911	25721
460	21952	25667
461	21994	25612
462	22058	25583
463	22096	25525
464	22137	25469
465	22186	25423
466	22224	25365
467	22264	25309
468	22299	25247
469	22328	25178
470	22355	25108
471	22381	25037
472	22409	24967
473	22441	24902
474	22486	24853
475	22518	24789
476	22549	24723
477	22585	24664
478	22616	24599
479	22652	24540
480	22684	24477
481	22725	24423
482	22755	24357
483	22787	24293
484	22814	24225
485	22843	24160
486	22883	24104
487	22918	24045
488	22952	23985
489	22978	23915
490	23003	23847
491	23032	23781
492	23061	23716
493	23095	23656
494	23122	23589
495	23159	23533
